"uri","did","subject","created_at"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3kgehape3jw2v","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:eyhvni3fzn54ukabhjrntjt6","2023-12-12T17:22:59.355Z"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3kgelyqotge27","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:3lqddbjjlbu2ernjfimok6uw","2023-12-12T18:48:00.881Z"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3kgscizndwc27","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:xrr5j2okn7ew2zvcwsxus3gb","2023-12-18T05:35:26.233Z"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3kkresckjjy2d","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:wmpmziltyt3mcscfbvp7thzd","2024-02-06T18:24:31.782Z"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3kld6vpaucz27","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:oky5czdrnfjpqslsw2a5iclo","2024-02-13T20:26:58.605Z"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3kkamb3pil22d","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:tpg43qhh4lw4ksiffs4nbda3","2024-01-31T02:22:48.586Z"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3kgehapez7e27","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:inatjjcm3vssdvkx27pvobhx","2023-12-12T17:22:59.355Z"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3kfgnqb5lcn2r","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:vjug55kidv6sye7ykr5faxxn","2023-11-30T20:59:11.759Z"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3k5bi6y4gio2h","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:azrmmwkhztgcsx67h4uovdez","2023-08-19T00:15:11.372Z"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3klctvi3nj42i","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:tec2yqfylskq2czrpplfch6t","2024-02-13T17:10:00.002Z"
